flow_id,timestamp,True_Class,Label,src_ip,dst_ip,src_port,dst_port,protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ClassLabel
FL-00011,10:11:00,BENIGN,BENIGN,192.168.1.120,104.244.42.1,54100,443,TCP,23595.0,1.0,1.0,77.0,159.0,77.0,77.0,0.0,159.0,159.0,0.0,10002.11909,84.76372113,23595.0,0.0,23595.0,23595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,42.38186056,42.38186056,159.0,104.3333333,47.34272207,2241.333333,0.0,0.0,156.5,77.0,159.0,1.0,77.0,1.0,159.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00012,10:12:00,BENIGN,BENIGN,192.168.1.122,142.250.190.46,49330,443,TCP,61017.0,4.0,2.0,172.0,198.0,43.0,43.0,0.0,99.0,99.0,0.0,6063.883836,98.33325139,12203.4,21224.94332,49048.0,4.0,49099.0,16366.33333,28303.16174,49048.0,4.0,48.0,48.0,0.0,48.0,48.0,0.0,104.0,40.0,65.55550093,32.77775046,99.0,59.0,27.32520204,746.6666667000003,0.0,0.0,68.83333333,43.0,99.0,4.0,172.0,2.0,198.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00013,10:13:00,BENIGN,BENIGN,192.168.1.125,151.101.1.69,51990,443,TCP,196.0,2.0,2.0,76.0,140.0,38.0,38.0,0.0,70.0,70.0,0.0,1102040.816,20408.16327,65.33333333,72.56950691,145.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,64.0,64.0,10204.08163,10204.08163,70.0,50.8,17.52712184,307.2,0.0,0.0,63.5,38.0,70.0,2.0,76.0,2.0,140.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00014,10:14:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51884,445,TCP,111.0,1.0,1.0,2.0,6.0,2.0,2.0,0.0,6.0,6.0,0.0,72072.07207000001,18018.01802,111.0,0.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,9009.009009,9009.009009,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,5.0,2.0,6.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00015,10:15:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51885,3389,TCP,752.0,2.0,1.0,8.0,2.0,6.0,4.0,2.828427125,2.0,2.0,0.0,13297.87234,3989.361702,376.0,463.8620485,704.0,48.0,752.0,752.0,0.0,752.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,2659.574468,1329.787234,6.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1024.0,29200.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00016,10:16:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51886,8080,TCP,164.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,36585.36585,12195.12195,164.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,6097.560976,6097.560976,6.0,2.0,3.464101615,12.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00017,10:17:00,BENIGN,BENIGN,192.168.1.130,192.168.1.1,49450,80,TCP,209.0,2.0,2.0,64.0,198.0,32.0,32.0,0.0,99.0,99.0,0.0,1253588.517,19138.75598,69.66666667,37.5277675,113.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,40.0,40.0,9569.37799,9569.37799,99.0,58.8,36.69741135,1346.7,0.0,0.0,73.5,32.0,99.0,2.0,64.0,2.0,198.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00018,10:18:00,BENIGN,BENIGN,192.168.1.132,142.250.190.46,50320,443,TCP,196.0,2.0,2.0,82.0,146.0,41.0,41.0,0.0,73.0,73.0,0.0,1163265.306,20408.16327,65.33333333,72.56950691,145.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,40.0,40.0,10204.08163,10204.08163,73.0,53.8,17.52712184,307.2,0.0,0.0,67.25,41.0,73.0,2.0,82.0,2.0,146.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00019,10:02:00,BENIGN,BENIGN,192.168.1.105,8.8.8.8,53120,53,UDP,142377.0,46.0,62.0,1325.0,105855.0,570.0,28.80434783,111.4072847,4344.0,1707.3387100000002,846.1726550000003,752790.1276,758.5494848,1330.626168,5048.982697,23198.0,0.0,142377.0,3163.933333,7552.916858,23792.0,0.0,119204.0,1954.163934,6058.842404,23865.0,4.0,0.0,1168.0,1992.0,323.0858917,435.4635931,4344.0,983.3027523,1052.39205,1107529.028,0.0,0.0,992.4074074,28.80434783,1707.3387100000002,46.0,1325.0,62.0,105855.0,29200.0,61.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL-00020,10:03:00,BENIGN,BENIGN,192.168.1.108,104.244.42.1,51200,443,TCP,118873.0,23.0,28.0,1169.0,45025.0,570.0,50.82608696,156.13736730000005,2896.0,1608.035714,902.027366,388599.5979,429.0293002,2377.46,6838.420713,23435.0,3.0,118873.0,5403.318182,9768.511157,24311.0,49.0,95541.0,3538.555556000001,8193.060024,24168.0,3.0,0.0,744.0,904.0,193.483802,235.5454981,2896.0,888.3461537999997,1028.323762,1057449.76,0.0,0.0,905.7647059,50.82608696,1608.035714,23.0,1169.0,28.0,45025.0,29200.0,61.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
