flow_id,timestamp,True_Class,Label,src_ip,dst_ip,src_port,dst_port,protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ClassLabel
FL-00011,10:11:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51881,21,TCP,648.0,2.0,1.0,8.0,2.0,6.0,4.0,2.828427125,2.0,2.0,0.0,15432.09877,4629.629629999999,324.0,360.6244584,579.0,69.0,648.0,648.0,0.0,648.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,3086.419753,1543.209877,6.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1024.0,29200.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00012,10:12:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51882,22,TCP,740.0,2.0,1.0,8.0,2.0,6.0,4.0,2.828427125,2.0,2.0,0.0,13513.51351,4054.054054,370.0,292.7422074,577.0,163.0,740.0,740.0,0.0,740.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,2702.702703,1351.351351,6.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1024.0,29200.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00013,10:13:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51883,80,TCP,599.0,2.0,1.0,8.0,2.0,6.0,4.0,2.828427125,2.0,2.0,0.0,16694.49082,5008.347245,299.5,398.10111780000005,581.0,18.0,599.0,599.0,0.0,599.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,3338.898164,1669.449082,6.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1024.0,29200.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00014,10:14:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51884,445,TCP,752.0,2.0,1.0,8.0,2.0,6.0,4.0,2.828427125,2.0,2.0,0.0,13297.87234,3989.361702,376.0,463.8620485,704.0,48.0,752.0,752.0,0.0,752.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,2659.574468,1329.787234,6.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,1024.0,29200.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00015,10:15:00,PortScan,PortScan,10.0.0.99,192.168.1.50,51885,3389,TCP,164.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,36585.36585,12195.12195,164.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,6097.560976,6097.560976,6.0,2.0,3.464101615,12.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FL-00016,10:16:00,Botnet,Botnet,192.168.1.105,52.14.209.11,49811,6667,TCP,134812.0,4.0,3.0,206.0,134.0,194.0,51.5,95.04209594,128.0,44.66666667,72.23111056,2522.03068,51.92416105,22468.66667,53230.91125,131123.0,123.0,134812.0,44937.33333,76126.81717000001,132841.0,949.0,132783.0,66391.5,91544.16521,131123.0,1660.0,0.0,92.0,72.0,29.67094917,22.25321188,194.0,42.5,75.2880184,5668.285714,0.0,0.0,48.57142857,51.5,44.66666667,4.0,206.0,3.0,134.0,8192.0,237.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FL-00017,10:17:00,Botnet,Botnet,192.168.1.105,52.14.209.11,49812,6667,TCP,127781.0,4.0,3.0,206.0,134.0,194.0,51.5,95.04209594,128.0,44.66666667,72.23111056,2660.802467,54.78122726,21296.83333,50455.70005,124286.0,75.0,127781.0,42593.66667,72173.33699,125932.0,745.0,125987.0,62993.5,86680.68477,124286.0,1701.0,0.0,92.0,72.0,31.30355843,23.47766882,194.0,42.5,75.2880184,5668.285714,0.0,0.0,48.57142857,51.5,44.66666667,4.0,206.0,3.0,134.0,8192.0,237.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FL-00018,10:18:00,Botnet,Botnet,192.168.1.105,198.51.100.4,50124,8080,TCP,165810.0,5.0,4.0,212.0,140.0,194.0,42.4,84.78679142,128.0,35.0,62.0644826,2122.911766,54.27899403,20726.25,57769.37467999999,163697.0,43.0,165810.0,41452.5,82023.50566,164487.0,43.0,164470.0,54823.33333,94287.53776,163697.0,204.0,0.0,112.0,92.0,30.15499668,24.12399735,194.0,35.2,68.15798641,4645.511111,0.0,0.0,39.11111111,42.4,35.0,5.0,212.0,4.0,140.0,8192.0,237.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FL-00019,10:19:00,Botnet,Botnet,192.168.1.105,198.51.100.4,50125,8080,TCP,65033.0,4.0,3.0,1870.0,134.0,1858.0,467.5,927.004315,128.0,44.66666667,72.23111056,30815.12463,107.6376609,10838.83333,25181.30773,62233.0,55.0,65033.0,21677.66667,36790.82389,64158.0,76.0,63250.0,31625.0,43286.24872,62233.0,1017.0,0.0,92.0,72.0,61.50723479,46.13042609,1858.0,250.5,651.0051569,423807.7143,0.0,0.0,286.2857143,467.5,44.66666667,4.0,1870.0,3.0,134.0,8192.0,258.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FL-00020,10:20:00,Botnet,Botnet,192.168.1.105,203.0.113.88,51230,4444,TCP,80105.0,4.0,3.0,206.0,134.0,194.0,51.5,95.04209594,128.0,44.66666667,72.23111056,4244.429187,87.38530678,13350.83333,31571.77286,77792.0,41.0,80105.0,26701.66667,45582.23957,79334.0,41.0,78429.0,39214.5,54556.8237,77792.0,637.0,0.0,92.0,72.0,49.93446102,37.45084576,194.0,42.5,75.2880184,5668.285714,0.0,0.0,48.57142857,51.5,44.66666667,4.0,206.0,3.0,134.0,8192.0,237.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
