Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
209,2,2,64,198,32,32,32.0,0.0,99,99,99.0,0.0,1253588.517,19138.75598,69.66666667,37.527767499999996,113,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,9569.37799,9569.37799,32,99,58.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,73.5,32.0,99.0,40,0,0,0,0,0,0,2,64,2,198,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
196,2,2,82,146,41,41,41.0,0.0,73,73,73.0,0.0,1163265.3059999999,20408.163269999997,65.33333333,72.56950691,145,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,10204.08163,10204.08163,41,73,53.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,67.25,41.0,73.0,40,0,0,0,0,0,0,2,82,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
96811,4,2,132,150,33,33,33.0,0.0,75,75,75.0,0.0,2912.89213,61.976428299999995,19362.2,30951.51573000001,70998,3,25809,8603.0,14894.77093,25802,3,4,4.0,0.0,4,4,0,0,0,0,120,64,41.31761887,20.65880943,33,75,45.0,20.49390153,420.0,0,0,0,0,0,0,0,0,0,52.5,33.0,75.0,120,0,0,0,0,0,0,4,132,2,150,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5900543,8,5,372,3631,191,0,46.5,71.87687886,1891,0,726.2,886.8146367999999,678.4121393999999,2.203187063,491711.9167,1550443.785,5412143,3,5900543,842934.7143,2016469.958,5412143,3,261707,65426.75,73698.78989,132168,217,0,0,0,0,172,112,1.3558074230000001,0.847379639,0,1891,285.9285713999999,600.7356342,360883.3022,0,0,0,1,0,0,0,0,0,307.9230769,46.5,726.2,172,0,0,0,0,0,0,8,372,5,3631,8192,237,7,20,488397.0,0.0,488397,488397,5412143.0,0.0,5412143,5412143,BENIGN
4356,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4132.2314049999995,688.7052342000001,2178.0,3075.914498,4353,3,4356,2178.0,3075.914498,4353,3,0,0.0,0.0,0,0,0,0,0,0,60,0,688.7052342000003,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,127,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4969,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
12816,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,1404.494382,234.08239700000001,6408.0,9058.037867000001,12813,3,12816,6408.0,9058.037867000001,12813,3,0,0.0,0.0,0,0,0,0,0,0,60,0,234.08239700000001,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,32,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
93,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21505.37634,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10752.68817,10752.68817,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,57,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,130,348,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
118361735,26,34,941,36109,206,0,36.19230769,60.79540722,2860,0,1062.0294119999999,695.0806574,313.0234615,0.506920585,2006131.102,10800000.0,59000000,0,118000000,4734469.4,16300000.0,59000000,16,118000000,3583882.727,14300000.0,59000000,1,0,0,0,0,532,692,0.219665587,0.287254998,0,2860,607.3770492000001,729.331707,531924.7388,0,0,0,1,0,0,0,0,1,617.5,36.19230769,1062.0294119999999,532,0,0,0,0,0,0,26,941,34,36109,8192,360,25,20,201183.0,161827.0437,315612,86754,58900000.0,36576.51247,59000000,58900000,BENIGN
48229,4,2,148,236,37,37,37.0,0.0,118,118,118.0,0.0,7962.014556,124.4064774,9645.8,14013.67856,30809,3,30816,10272.0,17785.56372,30809,3,48,48.0,0.0,48,48,0,0,0,0,128,40,82.93765162,41.46882581,37,118,60.14285714,39.52395295,1562.142857,0,0,0,0,0,0,0,0,0,70.16666667,37.0,118.0,128,0,0,0,0,0,0,4,148,2,236,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
149,2,2,90,122,45,45,45.0,0.0,61,61,61.0,0.0,1422818.792,26845.637580000002,49.66666667,79.96457549,142,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,13422.818790000001,13422.818790000001,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45.0,61.0,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50680,2,2,90,172,45,45,45.0,0.0,86,86,86.0,0.0,5169.692186,78.92659826,16893.33333,29215.95301,50629,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,39.46329913,39.46329913,45,86,61.4,22.45662486,504.3,0,0,0,0,0,0,0,0,1,76.75,45.0,86.0,64,0,0,0,0,0,0,2,90,2,172,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58286,2,2,94,206,47,47,47.0,0.0,103,103,103.0,0.0,5147.033593,68.62711457,19428.66667,33606.41167,58234,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,64,34.31355729,34.31355729,47,103,69.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,86.75,47.0,103.0,64,0,0,0,0,0,0,2,94,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
48725,2,2,66,198,33,33,33.0,0.0,99,99,99.0,0.0,5418.1631609999995,82.09338122,16241.666669999999,28127.92778,48721,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,41.04669061,41.04669061,33,99,59.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,74.25,33.0,99.0,64,0,0,0,0,0,0,2,66,2,198,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
48226,2,2,76,108,38,38,38.0,0.0,54,54,54.0,0.0,3815.369303,82.94281093,16075.333330000001,27837.231910000002,48219,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,41.47140547,41.47140547,38,54,44.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,55.5,38.0,54.0,64,0,0,0,0,0,0,2,76,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8218,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,243.36821609999998,8218.0,0.0,8218,8218,8218,8218.0,0.0,8218,8218,0,0.0,0.0,0,0,0,0,0,0,64,0,243.36821609999998,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,317,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
30124,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,398.3534723,66.39224539,30124.0,0.0,30124,30124,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33.19612269,33.19612269,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,123,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60096731,16,16,1174,15759,517,0,73.375,160.5722579,3798,0,984.9375,1378.9815310000001,281.76241400000004,0.532474886,1938604.226,4004737.023,10000000,3,50300000,3352436.267,4892791.32,10000000,197,60100000,4004883.5330000003,5066677.646000002,10000000,3,0,0,0,0,340,332,0.266237443,0.266237443,0,3798,513.1212121,1058.1483460000004,1119677.922,0,0,0,1,0,0,0,0,1,529.15625,73.375,984.9375,340,0,0,0,0,0,0,16,1174,16,15759,29200,127,15,20,36211.0,31443.2587,100394,23263,9979910.332999999,95104.93545,10000000,9786921,BENIGN
178,2,2,74,106,37,37,37.0,0.0,53,53,53.0,0.0,1011235.955,22471.91011,59.33333333,96.70746266,171,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,11235.95506,11235.95506,37,53,43.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,54.25,37.0,53.0,64,0,0,0,0,0,0,2,74,2,106,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
226,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,707964.6018,17699.11504,75.33333333,101.0758791,191,4,191,191.0,0.0,191,191,4,4.0,0.0,4,4,0,0,0,0,40,40,8849.557522,8849.557522,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1702890,2,2,97,259,54,43,48.5,7.778174592999999,149,110,129.5,27.57716447,209.0563689,2.348947965,567630.0,910400.2840000001,1617740,380,1618120,1618120.0,0.0,1618120,1618120,1702510,1702510.0,0.0,1702510,1702510,0,0,0,0,60,72,1.174473982,1.174473982,43,149,82.0,45.72198596,2090.5,0,0,0,0,0,0,0,0,1,102.5,48.5,129.5,60,0,0,0,0,0,0,2,97,2,259,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
23418,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,5465.880946,85.40438979,23418.0,0.0,23418,23418,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.70219489,42.70219489,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,32,0,0,0,0,0,0,1,56,1,72,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1005977,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.89305322,5.964351074,201195.4,274636.0289,505513,510,1005467,502733.5,4958.939856,506240,499227,1005250,502625.0,5040.257136,506189,499061,0,0,0,0,92,60,2.982175537,2.982175537,0,6,2.5714285709999998,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
4714705,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.39052496,1.272614087,942941.0,1944057.41,4415037,4,4714705,1178676.25,2162032.394,4415037,4,0,0.0,0.0,0,0,1,0,0,0,100,20,1.060511739,0.212102348,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,16384,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
67,2,1,31,6,31,0,15.5,21.92031022,6,6,6.0,0.0,552238.806,44776.1194,33.5,43.13351365,64,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,20,29850.74627,14925.373130000002,0,31,17.0,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6.0,64,0,0,0,0,0,0,2,31,1,6,1063,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,972,284,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,859649.1228,70175.4386,19.0,29.46183973,53,1,4,2.0,1.4142135619999998,3,1,0,0.0,0.0,0,0,0,0,0,0,60,20,52631.57895,17543.85965,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,1178,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3990011,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,42.35577295,1.503755253,798002.2,1756806.041,3940560,19,3990011,997502.75,1962096.007,3940560,19,0,0.0,0.0,0,0,1,0,0,0,160,32,1.253129377,0.250625875,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,360,357,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
282,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,109929.07800000001,10638.29787,141.0,131.52186129999998,234,48,282,141.0,131.52186129999998,234,48,0,0.0,0.0,0,0,0,0,0,0,96,0,10638.29787,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,96,0,0,0,0,0,0,3,31,0,0,61,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,365,275,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
62465310,4,5,104,193,46,6,26.0,23.09401077,64,6,38.6,21.65178976,4.754639015,0.14407997,7808163.75,20700000.0,58900000,1,59100000,19700000.0,34000000.0,58900000,77928,62400000,15600000.0,29000000.0,59000000,1,1,0,0,0,80,100,0.064035542,0.080044428,6,64,34.3,21.02934458,442.23333330000014,0,1,0,0,1,0,0,0,1,38.11111111,26.0,38.6,80,0,0,0,0,0,0,4,104,5,193,252,363,3,20,77939.0,0.0,77939,77939,58900000.0,0.0,58900000,58900000,BENIGN
48318,1,1,55,105,55,55,55.0,0.0,105,105,105.0,0.0,3311.395339,41.39244174,48318.0,0.0,48318,48318,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.69622087,20.69622087,55,105,71.66666667,28.86751346,833.3333332999997,0,0,0,0,0,0,0,0,1,107.5,55.0,105.0,32,0,0,0,0,0,0,1,55,1,105,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5817547,2,2,87,387,44,43,43.5,0.7071067809999999,277,110,193.5,118.0868325,81.47763997,0.6875750209999999,1939182.333,3252982.439,5695373,48106,5769441,5769441.0,0.0,5769441,5769441,5743479,5743479.0,0.0,5743479,5743479,0,0,0,0,64,52,0.34378751,0.34378751,43,277,103.4,101.24870370000001,10251.3,0,0,0,0,0,0,0,0,1,129.25,43.5,193.5,64,0,0,0,0,0,0,2,87,2,387,-1,-1,1,32,74068.0,0.0,74068,74068,5695373.0,0.0,5695373,5695373,BENIGN
47034,2,2,68,380,34,34,34.0,0.0,190,190,190.0,0.0,9525.02445,85.04486116,15678.0,27110.069,46982,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,42.52243058,42.52243058,34,190,96.4,85.44471897,7300.8,0,0,0,0,0,0,0,0,1,120.5,34.0,190.0,40,0,0,0,0,0,0,2,68,2,380,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
2015383,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,8.931304869,1.4885508109999999,1007691.5,1424967.949,2015296,87,2015383,1007691.5,1424967.949,2015296,87,0,0.0,0.0,0,0,0,0,0,0,60,0,1.4885508109999999,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,254,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
11079207,12,17,4925,11982,2366,0,410.4166667,877.0422876,1689,2,704.8235294,736.8449833,1526.011744,2.617515857,395685.9643,1833464.654,9736697,4,1342506,122046.0,140083.3289,449130,19472,11000000,690431.625,2416248.965,9736827,4,0,0,0,0,252,344,1.08311001,1.534405847,0,2366,563.5666667,789.7306255,623674.4609,0,0,0,1,0,0,0,0,1,583.0,410.4166667,704.8235294,252,0,0,0,0,0,0,12,4925,17,11982,8192,40880,11,20,1342506.0,0.0,1342506,1342506,9736697.0,0.0,9736697,9736697,BENIGN
5561328,3,4,92,123,46,0,30.66666667,26.55811238,46,0,30.75,21.68524844,38.65983089,1.258692168,926888.0,2235957.126,5490881,1,5525637,2762818.5,3858062.9869999997,5490881,34756,5526661,1842220.333,3190815.752,5526657,1,1,0,0,0,96,128,0.539439501,0.719252668,0,46,32.625,20.79105233,432.26785710000007,0,1,0,0,1,0,0,0,1,37.28571429,30.66666667,30.75,96,0,0,0,0,0,0,3,92,4,123,330,122,1,32,34756.0,0.0,34756,34756,5490881.0,0.0,5490881,5490881,BENIGN
22001,2,2,64,176,32,32,32.0,0.0,88,88,88.0,0.0,10908.59506,181.8099177,7333.666667,12659.869840000001,21952,1,48,48.0,0.0,48,48,1,1.0,0.0,1,1,0,0,0,0,40,40,90.90495887,90.90495887,32,88,54.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,68.0,32.0,88.0,40,0,0,0,0,0,0,2,64,2,176,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
124225,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,96.59891326,16.09981888,124225.0,0.0,124225,124225,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.049909439,8.049909439,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1332,42,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
124786,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,96.16463385,16.02743898,124786.0,0.0,124786,124786,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.013719488,8.013719488,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,255,31,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
48053,1,1,63,155,63,63,63.0,0.0,155,155,155.0,0.0,4536.657440999999,41.62071047,48053.0,0.0,48053,48053,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.81035523,20.81035523,63,155,93.66666667,53.11622477,2821.333333,0,0,0,0,0,0,0,0,1,140.5,63.0,155.0,32,0,0,0,0,0,0,1,63,1,155,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
